Subject,IQ79,Ethnicity,Gender,Employment79,FamilySize79,AFQT '80,AFQT '89,AFQT '06,Income84,FamilySize86,FamilySize90,Employment90,Income94,FamilySize96,FamilySize00,Income04,Income06,FamilySize06,Employment06,Income10,Income12,FamilySize12
2653,,1,1,1,11,3.0,4.0,4107.0,8700,6,6,1,1600.0,6,5,12000.0,20000.0,2,1,25000.0,26000.0,2
2654,,1,2,5,7,14.0,17.0,17893.0,3000,3,4,1,17000.0,6,7,9000.0,20000.0,9,1,20000.0,0.0,7
2655,,1,2,5,7,8.0,8.0,7355.0,-3,4,5,4,1250.0,10,9,2003.0,5300.0,8,1,0.0,4000.0,9
2656,,1,2,1,8,22.0,24.0,24110.0,3900,6,3,1,18000.0,2,-5,57000.0,-2.0,1,1,57000.0,60000.0,2
2657,,1,2,1,8,16.0,13.0,9052.0,800,2,3,1,-5.0,-5,-5,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
2658,,1,1,5,5,4.0,5.0,4014.0,100,2,6,3,2130.0,-5,2,4000.0,8000.0,3,6,0.0,0.0,5
2659,72.0,1,2,3,5,8.0,5.0,13369.0,-3,3,8,4,-3.0,3,3,700.0,2000.0,4,1,15000.0,16000.0,2
2660,,1,1,7,3,15.0,9.0,5171.0,-5,-5,-5,-5,-2.0,3,2,0.0,0.0,2,6,0.0,0.0,2
2661,,1,1,1,9,9.0,10.0,7370.0,-2,3,5,3,3000.0,5,5,19000.0,18674.0,3,1,21000.0,22000.0,3
2662,,1,2,5,9,27.0,32.0,32449.0,-3,4,6,3,1300.0,5,6,0.0,0.0,4,7,0.0,0.0,6
2663,105.0,1,2,1,6,11.0,6.0,5128.0,200,8,8,4,-3.0,8,7,0.0,0.0,2,7,3000.0,14000.0,4
2664,,1,2,4,6,3.0,8.0,5795.0,-3,2,2,7,-3.0,2,-5,0.0,0.0,1,6,-5.0,-5.0,-5
2665,,1,1,1,4,19.0,22.0,21392.0,-3,6,1,1,600.0,3,2,20000.0,24000.0,2,1,29000.0,31000.0,2
2666,,1,1,3,4,4.0,3.0,1722.0,3500,2,2,1,10000.0,6,9,13300.0,13700.0,6,1,21000.0,26000.0,7
2667,80.0,1,1,1,5,1.0,1.0,810.0,1186,6,8,1,-2.0,10,5,14000.0,1800.0,4,6,0.0,0.0,2
2668,,1,2,1,5,38.0,32.0,25561.0,10200,3,1,1,17500.0,1,1,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
2669,,1,2,3,5,13.0,10.0,8169.0,95,5,3,4,-3.0,9,8,0.0,5000.0,4,1,24000.0,-5.0,-5
2670,,1,2,1,5,27.0,26.0,30126.0,4330,3,4,1,13800.0,4,5,-5.0,23500.0,3,1,0.0,-5.0,-5
2671,,1,1,3,3,18.0,15.0,14123.0,-3,3,3,2,-2.0,4,5,14000.0,-5.0,-5,-5,-5.0,-5.0,-5
2672,,1,2,1,7,22.0,21.0,13722.0,8075,4,4,1,14000.0,4,4,10000.0,11000.0,5,1,14000.0,11304.0,5
2673,,1,1,1,7,2.0,3.0,3536.0,5000,7,4,2,-5.0,-5,3,24000.0,-5.0,-5,-5,-5.0,-5.0,-5
