"R0000100","R0214700","R0214800","R0618200","R0618300","R0618301"
423,3,2,-4,-4,-4
424,3,1,96,89,89434
425,3,2,52,44,39354
426,1,1,44,36,27838
427,3,2,-4,-4,-5
428,3,2,81,78,81231
429,3,1,94,92,83776
430,3,1,-4,-4,-4
431,3,2,75,71,78081
432,3,1,3,4,1513
433,3,1,3,4,1622
434,3,1,50,49,65734
435,3,1,16,23,26121
436,3,2,65,58,68679
437,3,2,63,64,71472
438,3,2,69,80,79950
439,3,2,81,78,75485
440,3,1,54,53,48613
441,3,1,4,5,10989
442,3,2,43,56,64195
443,3,1,89,96,97365
444,3,2,62,72,80238
445,3,1,69,77,93639
446,3,2,29,29,25328
447,3,1,11,18,16163
448,3,1,3,5,3016
449,3,2,68,50,47638
450,3,1,31,25,27423
451,3,1,17,19,39692
452,3,2,37,46,55829
453,3,1,73,70,72199
454,3,2,66,78,79336
455,3,2,87,98,94516
456,3,1,52,64,48986
457,3,1,64,80,78555
458,3,2,93,82,86548
459,3,2,78,87,85905
460,3,2,38,35,31254
461,3,1,90,89,90491
462,3,2,93,96,95252
463,3,1,75,78,79958
464,3,1,85,81,79330
465,3,2,77,86,85844
466,3,1,-4,-4,-4
467,3,2,96,95,95508
468,3,1,98,93,90968
469,1,1,22,21,31053
470,3,1,9,6,11350
471,3,2,38,32,28506
472,3,2,28,31,29752
473,3,1,-4,-4,-5
474,3,2,26,30,40756
475,3,2,18,13,20137
476,3,2,-4,-4,-4
477,3,1,15,17,32913
478,3,2,54,42,51719
479,3,1,59,56,76189
480,3,1,56,57,51896
481,3,1,98,99,93653
482,3,1,83,88,77991
483,3,1,74,58,47109
484,3,1,17,15,13303
485,3,2,19,14,8229
486,3,1,30,35,50498
487,3,2,53,53,44363
488,3,1,35,48,56470
489,3,1,72,70,59586
490,3,1,21,27,30006
491,3,2,16,11,13761
492,3,2,52,53,54285
493,3,1,49,65,73292
494,3,2,84,81,83731
495,3,2,74,64,69070
496,3,2,94,87,92866
497,3,1,26,25,23788
498,3,1,-4,-4,-4
499,3,2,38,40,39163
500,3,2,63,57,64295
501,3,2,69,67,78966
502,3,1,78,70,71792
503,3,2,40,45,56773
504,3,2,11,13,19412
505,3,1,38,28,26498
506,3,2,43,42,43741
507,3,2,60,65,70767
508,3,1,25,21,23980
509,3,1,73,80,87400
510,3,2,87,77,85325
511,3,1,80,85,90277
512,3,1,49,46,47966
513,2,1,43,46,51831
514,2,2,9,7,11503
515,3,2,16,13,21063
516,2,1,4,7,5250
517,2,1,8,8,3292
518,2,1,5,7,15956
519,2,2,2,2,2837
520,2,1,22,29,26381
521,2,1,28,44,37473
522,2,2,7,10,4798
523,2,1,15,16,23333
524,2,1,42,51,49749
525,2,2,-4,-4,-5
526,3,1,22,16,13105
527,3,2,82,64,61184
528,3,2,27,22,30237
529,3,2,-4,-4,-5
530,3,2,12,8,5291
531,3,1,10,12,5935
532,3,2,10,13,13162
533,3,2,55,47,55185
534,3,1,4,4,982
535,3,1,27,23,33208
536,3,2,2,4,3052
537,3,1,2,4,1356
538,3,1,24,23,15896
539,3,1,93,81,85990
540,3,1,25,13,16138
541,3,1,18,16,23134
542,3,2,-4,-4,-4
543,3,1,23,25,21108
544,3,2,30,23,23501
545,3,1,63,57,54446
546,3,2,22,22,28073
547,3,1,38,46,45744
548,3,2,63,63,72071
549,3,1,42,43,42319
550,3,2,79,82,81039
551,3,2,-4,-4,-5
552,3,2,81,97,94578
553,3,1,99,99,99154
554,3,1,72,80,91427
555,3,1,-4,-4,-4
556,3,1,72,93,86423
557,3,2,99,99,99324
558,3,2,79,80,83317
559,3,1,94,95,95070
560,3,1,57,57,62344
561,3,2,73,75,76633
562,3,1,63,62,64432
563,3,2,36,42,44891
564,3,1,39,45,33668
565,3,1,44,36,35041
566,3,2,25,22,24660
567,3,2,43,51,49801
568,3,2,54,46,54083
569,3,1,85,85,87453
570,3,1,99,97,100000
571,3,1,58,58,75727
572,3,2,-4,-4,-5
573,3,1,67,66,69447
574,3,2,39,29,35314
575,3,1,99,99,99707
576,3,2,94,89,86676
577,3,2,93,97,96036
578,3,1,99,98,98253
579,3,2,75,61,72569
580,3,1,63,46,41508
581,3,1,95,92,93783
582,3,2,66,88,91677
583,3,1,81,84,73326
584,3,1,31,33,37337
585,3,2,24,23,25699
586,3,1,17,25,22424
587,3,1,-4,-4,-4
588,3,2,3,2,4328
589,3,2,-3,-3,229
590,3,2,-3,-3,6771
591,1,2,73,88,96194
592,3,1,-4,-4,-4
593,1,2,27,30,26440
594,2,1,43,39,53342
595,2,1,20,18,13468
596,2,1,43,61,69499
597,2,1,4,4,2826
598,2,2,19,20,16514
599,2,1,25,35,31295
600,3,1,60,62,59737
601,3,2,52,53,65103
602,3,1,-4,-4,-4
603,3,2,38,40,39038
604,3,2,60,50,62762
605,3,1,36,51,56187
606,3,1,50,53,72782
607,3,1,87,80,82311
608,3,2,87,88,88693
609,3,2,40,39,45803
610,3,1,20,23,32629
611,3,2,71,75,73742
612,3,2,49,57,48877
613,3,1,25,28,35747
614,1,2,25,22,15699
615,3,2,14,12,16768
616,3,1,2,5,9141
617,3,2,18,19,18641
618,3,2,41,44,42993
